"year","month","week","date","y1","y2","y3","y4","y5"
1984,1,1,1984-01-01 00:00:00,30320,6622,5006,4638,15837
1984,1,2,1984-01-08 00:00:00,30716,6509,4923,4559,15711
1984,1,3,1984-01-15 00:00:00,31015,6400,4858,4570,15544
1984,1,4,1984-01-22 00:00:00,31961,6256,4904,4519,15550
1984,1,5,1984-01-29 00:00:00,33153,6202,4848,4549,15476
1984,2,6,1984-02-05 00:00:00,34108,6051,4789,4503,15293
1984,2,7,1984-02-12 00:00:00,35300,6041,4793,4441,15328
1984,2,8,1984-02-19 00:00:00,35981,6002,4754,4442,15161
1984,2,9,1984-02-26 00:00:00,36774,5944,4733,4467,15115
1984,3,10,1984-03-04 00:00:00,36898,5915,4782,4429,15004
1984,3,11,1984-03-11 00:00:00,37758,5992,4681,4424,15054
1984,3,12,1984-03-18 00:00:00,38228,5953,4732,4409,14951
1984,3,13,1984-03-25 00:00:00,37456,5859,4695,4438,14993
1984,4,14,1984-04-01 00:00:00,36520,5863,4712,4359,15085
1984,4,15,1984-04-08 00:00:00,36928,5829,4699,4328,15067
1984,4,16,1984-04-15 00:00:00,36346,5760,4699,4372,14994
1984,4,17,1984-04-22 00:00:00,34355,5744,4655,4388,14936
1984,4,18,1984-04-29 00:00:00,33873,5726,4712,4351,14954
1984,5,19,1984-05-06 00:00:00,32154,5588,4810,4447,14864
1984,5,20,1984-05-13 00:00:00,31193,5719,4687,4318,14856
1984,5,21,1984-05-20 00:00:00,29404,5699,4686,4265,14906
1984,5,22,1984-05-27 00:00:00,28007,5697,4661,4328,14762
1984,6,23,1984-06-03 00:00:00,26708,5640,4719,4258,14790
1984,6,24,1984-06-10 00:00:00,25910,5665,4670,4255,14760
1984,6,25,1984-06-17 00:00:00,24506,5724,4714,4233,14616
1984,6,26,1984-06-24 00:00:00,22837,5589,4677,4269,14542
1984,7,27,1984-07-01 00:00:00,19983,5660,4620,4283,14573
1984,7,28,1984-07-08 00:00:00,18798,5513,4625,4192,14642
1984,7,29,1984-07-15 00:00:00,16032,5545,4629,4252,14610
1984,7,30,1984-07-22 00:00:00,14730,5457,4585,4201,14591
1984,7,31,1984-07-29 00:00:00,12419,5303,4431,4160,14454
1984,8,32,1984-08-05 00:00:00,11106,5166,4243,4135,14258
1984,8,33,1984-08-12 00:00:00,10620,4973,4264,4111,14169
1984,8,34,1984-08-19 00:00:00,10726,5055,4251,4036,14063
1984,8,35,1984-08-26 00:00:00,8929,4873,4192,3970,13852
1984,9,36,1984-09-02 00:00:00,8559,4812,4116,3923,13673
1984,9,37,1984-09-09 00:00:00,8020,4708,3993,3864,13479
1984,9,38,1984-09-16 00:00:00,644,7853,4592,3932,17194
1984,9,39,1984-09-23 00:00:00,3746,7685,4595,3896,17028
1984,9,40,1984-09-30 00:00:00,4739,7577,4597,3911,17020
1984,10,41,1984-10-07 00:00:00,6749,7365,4565,3914,17064
1984,10,42,1984-10-14 00:00:00,7896,7290,4589,3956,16964
1984,10,43,1984-10-21 00:00:00,10516,7287,4668,3899,16941
1984,10,44,1984-10-28 00:00:00,11728,7227,4648,3938,16873
1984,11,45,1984-11-04 00:00:00,13147,7200,4648,3973,16888
1984,11,46,1984-11-11 00:00:00,15719,7237,4609,3925,16797
1984,11,47,1984-11-18 00:00:00,19446,7189,4681,4029,16937
1984,11,48,1984-11-25 00:00:00,20724,7098,4705,3916,16927
1984,12,49,1984-12-02 00:00:00,22683,7157,4601,3976,16914
1984,12,50,1984-12-09 00:00:00,23704,7013,4790,3991,16776
1984,12,51,1984-12-16 00:00:00,25823,6948,4722,3963,16754
1984,12,52,1984-12-23 00:00:00,26087,6861,4693,3960,16611
1985,1,1,1985-01-01 00:00:00,29413,6924,4681,3964,16591
1985,1,2,1985-01-08 00:00:00,29786,6952,4673,3984,16496
1985,1,3,1985-01-15 00:00:00,31001,6944,4707,3874,16576
1985,1,4,1985-01-22 00:00:00,31678,6907,4652,3975,16458
1985,1,5,1985-01-29 00:00:00,32598,6883,4670,3898,16496
1985,2,6,1985-02-05 00:00:00,33062,6789,4655,3917,16445
1985,2,7,1985-02-12 00:00:00,32998,6750,4642,3980,16329
1985,2,8,1985-02-19 00:00:00,33057,6780,4616,3945,16271
1985,2,9,1985-02-26 00:00:00,34040,6805,4652,3922,16289
1985,3,10,1985-03-05 00:00:00,34386,6760,4634,3930,16286
1985,3,11,1985-03-12 00:00:00,36912,6758,4677,3926,16334
1985,3,12,1985-03-19 00:00:00,37036,6874,4678,3981,16317
1985,3,13,1985-03-26 00:00:00,36774,6800,4679,3955,16392
1985,4,14,1985-04-02 00:00:00,36209,6797,4724,3952,16333
1985,4,15,1985-04-09 00:00:00,35832,6810,4723,3961,16285
1985,4,16,1985-04-16 00:00:00,35653,6754,4708,4008,16344
1985,4,17,1985-04-23 00:00:00,34385,6755,4763,3958,16299
1985,4,18,1985-04-30 00:00:00,33633,6790,4702,3980,16261
1985,5,19,1985-05-07 00:00:00,31973,6691,4719,3980,16234
1985,5,20,1985-05-14 00:00:00,30583,6633,4694,4014,16209
1985,5,21,1985-05-21 00:00:00,28799,6571,4742,3910,16212
1985,5,22,1985-05-28 00:00:00,26919,6557,4593,3908,16192
1985,6,23,1985-06-04 00:00:00,24661,6452,4665,3885,16166
1985,6,24,1985-06-11 00:00:00,23208,6491,4639,3903,16154
1985,6,25,1985-06-18 00:00:00,21678,6384,4569,3894,16072
1985,6,26,1985-06-25 00:00:00,19806,6462,4540,3831,16071
1985,7,27,1985-07-02 00:00:00,17335,6137,4406,3764,15811
1985,7,28,1985-07-09 00:00:00,15654,6149,4349,3706,15700
1985,7,29,1985-07-16 00:00:00,12174,5886,4315,3716,15613
1985,7,30,1985-07-23 00:00:00,10618,5968,4319,3652,15643
1985,7,31,1985-07-30 00:00:00,9425,5855,4266,3665,15510
1985,8,32,1985-08-06 00:00:00,8777,5741,4243,3636,15403
1985,8,33,1985-08-13 00:00:00,7923,5709,4154,3615,15329
1985,8,34,1985-08-20 00:00:00,7716,5743,4083,3606,15215
1985,8,35,1985-08-27 00:00:00,7115,5460,4004,3564,15121
1985,9,36,1985-09-03 00:00:00,624,6575,5439,4007,18609
1985,9,37,1985-09-10 00:00:00,1111,6319,5453,3970,18573
1985,9,38,1985-09-17 00:00:00,2053,6049,5410,4085,18536
1985,9,39,1985-09-24 00:00:00,3164,5938,5426,4093,18506
1985,10,40,1985-10-01 00:00:00,4495,5943,5438,4061,18466
1985,10,41,1985-10-08 00:00:00,6928,5902,5482,3999,18338
1985,10,42,1985-10-15 00:00:00,8131,5918,5396,4004,18424
1985,10,43,1985-10-22 00:00:00,9911,5855,5419,4099,18454
1985,10,44,1985-10-29 00:00:00,12418,5853,5420,4067,18411
1985,11,45,1985-11-05 00:00:00,13813,5675,5462,3951,18380
1985,11,46,1985-11-12 00:00:00,16028,5733,5416,4010,18389
1985,11,47,1985-11-19 00:00:00,19187,5748,5395,4013,18251
1985,11,48,1985-11-26 00:00:00,21278,5668,5420,3999,18302
1985,12,49,1985-12-03 00:00:00,22781,5728,5384,4023,18268
1985,12,50,1985-12-10 00:00:00,23631,5604,5403,3948,18333
1985,12,51,1985-12-17 00:00:00,24710,5648,5410,3932,18191
1985,12,52,1985-12-24 00:00:00,25797,5581,5375,3973,18169
1986,1,1,1986-01-01 00:00:00,28249,5615,5380,3928,18327
1986,1,2,1986-01-08 00:00:00,29095,5569,5467,3848,18416
1986,1,3,1986-01-15 00:00:00,30310,5590,5413,3889,18252
1986,1,4,1986-01-22 00:00:00,31794,5556,5376,3878,18142
1986,1,5,1986-01-29 00:00:00,31558,5537,5302,3837,18210
1986,2,6,1986-02-05 00:00:00,33955,5522,5312,3814,18138
1986,2,7,1986-02-12 00:00:00,34304,5492,5386,3856,18105
1986,2,8,1986-02-19 00:00:00,35227,5542,5357,3885,18135
1986,2,9,1986-02-26 00:00:00,35521,5548,5360,3871,18075
1986,3,10,1986-03-05 00:00:00,36945,5504,5362,3848,18103
