"city","country","definition","population","area"
Tokyo,Japan,Metropolis prefecture,13515271,2191.0
Delhi,India,Capital City,16753235,1484.0
Shanghai,China,Municipality,24183000,6341.0
São Paulo,Brazil,Municipality,12252023,1521.0
Mexico City,Mexico,City-state,9209944,1485.0
Cairo,Egypt,Urban governorate,9500000,3085.0
Mumbai,India,Municipality,12478447,603.0
Beijing,China,Municipality,21707000,16411.0
Dhaka,Bangladesh,Capital city,8906039,338.0
Osaka,Japan,Designated city,2725006,225.0
New York City,United States,City,8398748,786.0
Karachi,Pakistan,Metropolitan city,14910352,3530.0
Buenos Aires,Argentina,Autonomous city,3054300,203.0
Chongqing,China,Municipality,30165500,82403.0
Istanbul,Turkey,Metropolitan municipality,15519267,5196.0
Kolkata,India,Municipality,4496694,205.0
Manila,Philippines,Capital city,1780148,43.0
Rio de Janeiro,Brazil,Municipality,6520000,1221.0
Tianjin,China,Municipality,15569000,11920.0
Kinshasa,DR Congo,City-province,11462000,9965.0
Guangzhou,China,City (sub-provincial),14498400,7434.0
Los Angeles,United States,City,3990456,1214.0
Moscow,Russia,Federal city,13200000,2511.0
Shenzhen,China,City (sub-provincial),12528300,2050.0
Lahore,Pakistan,Metropolitan city,11126000,1772.0
Bangalore,India,Municipality,8443675,709.0
Paris,France,Commune,2148271,105.0
Bogotá,Colombia,Capital District,7963000,1587.0
Jakarta,Indonesia,Special capital region,10154134,664.0
Chennai,India,Municipality,6727000,426.0
Lima,Peru,Metropolitan municipality,8894000,2672.0
Bangkok,Thailand,Special administrative area,5782000,1569.0
Seoul,South Korea,Special city,9806000,605.0
Nagoya,Japan,Designated city,2320361,326.0
Hyderabad,India,Municipality,6993262,650.0
London,United Kingdom,Capital city,8825001,1572.0
Tehran,Iran,Capital city,9033003,751.0
Chicago,United States,City,2705994,589.0
Chengdu,China,City (sub-provincial),16044700,14378.0
Nanjing,China,City (sub-provincial),7260000,6582.0
Wuhan,China,City (sub-provincial),10892900,8494.0
Ho Chi Minh City,Vietnam,Municipality,7431000,2061.0
Luanda,Angola,Municipality,2165867,116.0
Ahmedabad,India,Municipality,5570585,464.0
Kuala Lumpur,Malaysia,City,1768000,243.0
Xi'an,China,City (sub-provincial),8989000,10135.0
Hong Kong,China,Special administrative region,7298600,1104.0
Dongguan,China,Prefecture-level city,8342500,2465.0
Hangzhou,China,City (sub-provincial),9468000,16596.0
Foshan,China,City (sub-provincial),7197394,3848.0
Shenyang,China,City (sub-provincial),8294000,12980.0
Riyadh,Saudi Arabia,Municipality,6694000,1913.0
Baghdad,Iraq,Urban governorate,8126755,5200.0
Santiago,Chile,City (commune),236453,22.0
Surat,India,Municipality,4466826,327.0
Madrid,Spain,Municipality,3266126,606.0
Suzhou,China,City (sub-provincial),10721700,8488.42
Pune,India,Municipality,3124458,276.0
Harbin,China,City (sub-provincial),10635971,53068.0
Houston,United States,City,2325502,1553.0
Dallas,United States,City,1345047,882.0
Toronto,Canada,City,2731571,630.0
Singapore,Singapore,Country,5638700,725.7
Philadelphia,United States,Consolidated city-county,1526006,369.59
Fukuoka,Japan,Designated city,1588924,343.39
Barcelona,Spain,Municipality,1620343,101.4
"Washington, D.C.",United States,Federal district,702455,177.0
Jinan,China,City (sub-provincial),8700000,10244.0
Guadalajara,Mexico,Municipality,1385621,151.0
